"scenario","run_label","ate_mean","rpe_mean","map_consistency_mean","state_accuracy_mean","change_recall_mean","avg_runtime_per_frame_mean"
"semi_static_only","baseline","1.98339955251985","0.293182093337337","0.393746996066591","0.448275862068966","0.505827505827506","0.000260981204014065"
"semi_static_only","dynamic_filter_only","1.88071172334027","0.308607162374242","0.504181265318547","0.422413793103448","0.509615384615385","0.000947597592689649"
"semi_static_only","kalman_tracking_only","1.88071172334027","0.308607162374242","0.504181265318547","0.422413793103448","0.509615384615385","0.000872023518550796"
"semi_static_only","full_motion_aware","1.88622251879676","0.310551258152923","0.507918398581924","0.224137931034483","0.933712121212121","0.000847539907166113"
"mixed","baseline","2.38199447876224","0.321299478008074","0.285612752902556","0.353448275862069","0.648809523809524","0.000266636481198172"
"mixed","dynamic_filter_only","2.0353511631852","0.326113606333703","0.460449993344287","0.577586206896552","0.525","0.00082936527755077"
"mixed","kalman_tracking_only","2.0353511631852","0.326113606333703","0.460449993344287","0.577586206896552","0.525","0.000944059259361691"
"mixed","full_motion_aware","2.19137848394636","0.328365889073241","0.438694522224098","0.405172413793103","0.982142857142857","0.000865124351845157"
"stress_dynamic_fraction","baseline","2.17312079072176","0.304857440902596","0.312094914981448","0.354885057471264","0.675675850637151","0.000288299181969997"
"stress_dynamic_fraction","dynamic_filter_only","1.88991360890965","0.308679577611759","0.455869167497466","0.604885057471264","0.561855796637143","0.000898501635737498"
"stress_dynamic_fraction","kalman_tracking_only","1.88991360890965","0.308679577611759","0.455869167497466","0.604885057471264","0.561855796637143","0.000884040632755151"
"stress_dynamic_fraction","full_motion_aware","1.89743140161239","0.311749917678233","0.455121700673215","0.478448275862069","0.93416832010582","0.000937062175872586"
"stress_noise","baseline","2.42718769485841","0.316048508887519","0.273704286662051","0.357758620689655","0.661309523809524","0.000295625485995077"
"stress_noise","dynamic_filter_only","2.04613697800526","0.320228031221859","0.452010774400196","0.584051724137931","0.516369047619047","0.00085855685163686"
"stress_noise","kalman_tracking_only","2.04613697800526","0.320228031221859","0.452010774400196","0.584051724137931","0.516369047619047","0.000853856967565931"
"stress_noise","full_motion_aware","2.17076066405109","0.323778867665562","0.428828719747591","0.420258620689655","0.977678571428572","0.00083930613429941"
